record_id,datetime,creation_status_code,metadata_status_code,file_upload_status_code,file_which_caused_problem
286,"24/11/2022 09:12:19",201,200,,
287,"24/11/2022 09:12:31",201,200,,
288,"24/11/2022 09:12:44",201,200,,
289,"24/11/2022 09:12:57",201,200,,
290,"24/11/2022 09:13:09",201,200,,
291,"24/11/2022 09:13:21",201,200,,
292,"24/11/2022 09:13:31",201,200,,
293,"24/11/2022 09:13:39",201,200,,
294,"24/11/2022 09:13:49",201,200,,
295,"24/11/2022 09:13:58",201,200,,
296,"24/11/2022 09:14:07",201,200,,
297,"24/11/2022 09:14:15",201,200,,
298,"24/11/2022 09:14:23",201,200,,
299,"24/11/2022 09:14:32",201,200,,
300,"24/11/2022 09:14:40",201,200,,
301,"24/11/2022 09:14:53",201,200,,
302,"24/11/2022 09:15:05",201,200,,
303,"24/11/2022 09:15:18",201,200,,
304,"24/11/2022 09:15:32",201,200,,
305,"24/11/2022 09:15:41",201,200,,
306,"24/11/2022 09:15:58",201,200,,
307,"24/11/2022 09:16:09",201,200,,
308,"24/11/2022 09:16:22",201,200,,
309,"24/11/2022 09:16:35",201,200,,
310,"24/11/2022 09:16:48",201,200,,
311,"24/11/2022 09:17:03",201,200,,
313,"24/11/2022 09:17:34",201,200,,
315,"24/11/2022 09:17:51",201,200,,
317,"24/11/2022 09:18:12",201,200,,
318,"24/11/2022 09:18:23",201,200,,
321,"24/11/2022 09:18:33",201,200,,
324,"24/11/2022 09:18:43",201,200,,
327,"24/11/2022 09:18:55",201,200,,
330,"24/11/2022 09:19:04",201,200,,
331,"24/11/2022 09:19:16",201,200,,
332,"24/11/2022 09:19:25",201,200,,
333,"24/11/2022 09:19:36",201,200,,
334,"24/11/2022 09:19:45",201,200,,
335,"24/11/2022 09:19:55",201,200,,
336,"24/11/2022 09:20:04",201,200,,
337,"24/11/2022 09:20:13",201,200,,
338,"24/11/2022 09:20:22",201,200,,
341,"24/11/2022 09:20:32",201,200,,
344,"24/11/2022 09:20:42",201,200,,
345,"24/11/2022 09:20:51",201,200,,
348,"24/11/2022 09:21:01",201,200,,
349,"24/11/2022 09:21:10",201,200,,
350,"24/11/2022 09:21:20",201,200,,
354,"24/11/2022 09:21:31",201,200,,
355,"24/11/2022 09:21:41",201,200,,
356,"24/11/2022 09:21:52",201,200,,
358,"24/11/2022 09:22:05",201,200,,
360,"24/11/2022 09:22:16",201,200,,
361,"24/11/2022 09:22:27",201,200,,
369,"24/11/2022 09:22:37",201,200,,
370,"24/11/2022 09:22:50",201,200,,
371,"24/11/2022 09:23:02",201,200,,
372,"24/11/2022 09:23:15",201,200,,
373,"24/11/2022 09:23:27",201,200,,
374,"24/11/2022 09:23:38",201,200,,
375,"24/11/2022 09:23:51",201,200,,
376,"24/11/2022 09:24:01",201,200,,
377,"24/11/2022 09:24:12",201,200,,
378,"24/11/2022 09:24:22",201,200,,
379,"24/11/2022 09:24:32",201,200,,
380,"24/11/2022 09:24:44",201,200,,
381,"24/11/2022 09:24:53",201,200,,
382,"24/11/2022 09:25:04",201,200,,
383,"24/11/2022 09:25:15",201,200,,
384,"24/11/2022 09:25:26",201,200,,
385,"24/11/2022 09:25:38",201,200,,
386,"24/11/2022 09:25:51",201,200,,
387,"24/11/2022 09:26:07",201,200,,
388,"24/11/2022 09:26:25",201,200,,
389,"24/11/2022 09:26:43",201,200,,
390,"24/11/2022 09:26:59",201,200,,
391,"24/11/2022 09:27:17",201,200,,
392,"24/11/2022 09:27:39",201,200,,
393,"24/11/2022 09:27:56",201,200,,
394,"24/11/2022 09:28:17",201,200,,
395,"24/11/2022 09:28:37",201,200,,
396,"24/11/2022 09:28:53",201,200,,
397,"24/11/2022 09:29:18",201,200,,
398,"24/11/2022 09:29:33",201,200,,
399,"24/11/2022 09:29:52",201,200,,
400,"24/11/2022 09:30:08",201,200,,
401,"24/11/2022 09:30:23",201,200,,
402,"24/11/2022 09:30:38",201,200,,
403,"24/11/2022 09:30:54",201,200,,
404,"24/11/2022 09:31:09",201,200,,
405,"24/11/2022 09:31:25",201,200,,
406,"24/11/2022 09:31:43",201,200,,
407,"24/11/2022 09:32:07",201,200,,
408,"24/11/2022 09:32:45",201,200,,
409,"24/11/2022 09:32:59",201,200,,
410,"24/11/2022 09:33:19",201,200,,
411,"24/11/2022 09:33:36",201,200,,
412,"24/11/2022 09:33:55",201,200,,
413,"24/11/2022 09:34:11",201,200,,
414,"24/11/2022 09:34:28",201,200,,
415,"24/11/2022 09:34:40",201,200,,
416,"24/11/2022 09:34:51",201,200,,
417,"24/11/2022 09:35:08",201,200,,
418,"24/11/2022 09:35:26",201,200,,
419,"24/11/2022 09:35:49",201,200,,
420,"24/11/2022 09:36:04",201,200,,
421,"24/11/2022 09:36:18",201,200,,
422,"24/11/2022 09:36:36",201,200,,
423,"24/11/2022 09:36:48",201,200,,
424,"24/11/2022 09:37:01",201,200,,
425,"24/11/2022 09:37:17",201,200,,
426,"24/11/2022 09:37:36",201,200,,
427,"24/11/2022 09:37:50",201,200,,
428,"24/11/2022 09:38:03",201,200,,
429,"24/11/2022 09:38:23",201,200,,
430,"24/11/2022 09:38:44",201,200,,
431,"24/11/2022 09:39:00",201,200,,
432,"24/11/2022 09:39:18",201,200,,
433,"24/11/2022 09:39:35",201,200,,
434,"24/11/2022 09:39:50",201,200,,
435,"24/11/2022 09:40:08",201,200,,
436,"24/11/2022 09:40:28",201,200,,
437,"24/11/2022 09:40:44",201,200,,
438,"24/11/2022 09:40:55",201,200,,
439,"24/11/2022 09:41:12",201,200,,
440,"24/11/2022 09:41:21",201,200,,
441,"24/11/2022 09:41:35",201,200,,
442,"24/11/2022 09:41:53",201,200,,
443,"24/11/2022 09:42:06",201,200,,
444,"24/11/2022 09:42:18",201,200,,
445,"24/11/2022 09:42:30",201,200,,
446,"24/11/2022 09:42:41",201,200,,
447,"24/11/2022 09:42:51",201,200,,
448,"24/11/2022 09:43:02",201,200,,
449,"24/11/2022 09:43:17",201,200,,
450,"24/11/2022 09:43:29",201,200,,
451,"24/11/2022 09:43:48",201,200,,
452,"24/11/2022 09:44:02",201,200,,
453,"24/11/2022 09:44:14",201,200,,
454,"24/11/2022 09:44:27",201,200,,
455,"24/11/2022 09:44:38",201,200,,
456,"24/11/2022 09:45:00",201,200,,
457,"24/11/2022 09:45:13",201,200,,
458,"24/11/2022 09:45:31",201,200,,
459,"24/11/2022 09:45:42",201,200,,
460,"24/11/2022 09:45:52",201,200,,
461,"24/11/2022 09:46:11",201,200,,
462,"24/11/2022 09:46:25",201,200,,
463,"24/11/2022 09:46:54",201,200,,
464,"24/11/2022 09:47:07",201,200,,
465,"24/11/2022 09:47:21",201,200,,
466,"24/11/2022 09:47:34",201,200,,
467,"24/11/2022 09:47:47",201,200,,
468,"24/11/2022 09:47:59",201,200,,
469,"24/11/2022 09:48:10",201,200,,
470,"24/11/2022 09:48:33",201,200,,
471,"24/11/2022 09:48:49",201,200,,
472,"24/11/2022 09:48:59",201,200,,
473,"24/11/2022 09:49:12",201,200,,
474,"24/11/2022 09:49:22",201,200,,
475,"24/11/2022 09:49:34",201,200,,
476,"24/11/2022 09:49:53",201,200,,
477,"24/11/2022 09:50:08",201,200,,
478,"24/11/2022 09:50:19",201,200,,
479,"24/11/2022 09:50:39",201,200,,
480,"24/11/2022 09:50:54",201,200,,
481,"24/11/2022 09:51:05",201,200,,
482,"24/11/2022 09:51:19",201,200,,
483,"24/11/2022 09:51:34",201,200,,
484,"24/11/2022 09:51:49",201,200,,
485,"24/11/2022 09:52:04",201,200,,
486,"24/11/2022 09:52:18",201,200,,
487,"24/11/2022 09:52:34",201,200,,
488,"24/11/2022 09:52:46",201,200,,
489,"24/11/2022 09:52:59",201,200,,
490,"24/11/2022 09:53:13",201,200,,
491,"24/11/2022 09:53:26",201,200,,
492,"24/11/2022 09:53:53",201,200,,
493,"24/11/2022 09:54:05",201,200,,
494,"24/11/2022 09:54:16",201,200,,
495,"24/11/2022 09:54:28",201,200,,
496,"24/11/2022 09:54:42",201,200,,
497,"24/11/2022 09:54:55",201,200,,
498,"24/11/2022 09:55:09",201,200,,
499,"24/11/2022 09:55:21",201,200,,
500,"24/11/2022 09:55:37",201,200,,
501,"24/11/2022 09:55:50",201,200,,
502,"24/11/2022 09:56:02",201,200,,
503,"24/11/2022 09:56:13",201,200,,
504,"24/11/2022 09:56:30",201,200,,
505,"24/11/2022 09:56:40",201,200,,
506,"24/11/2022 09:56:59",201,200,,
507,"24/11/2022 09:57:13",201,200,,
508,"24/11/2022 09:57:25",201,200,,
509,"24/11/2022 09:57:36",201,200,,
510,"24/11/2022 09:57:47",201,200,,
511,"24/11/2022 09:58:00",201,200,,
512,"24/11/2022 09:58:13",201,200,,
